국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
SB,솔로몬 군도,2026-07-01,383731,633142.0,-39.392584917759365,-55.908192577272196,0.000383731,0.0003877672741399317
LC,세인트 루시아,2026-07-01,369225,788753.0,-53.18876758630395,85.94104879363049,0.000369225,0.0003731086927934316
ME,몬테네그로,2026-07-01,324617,153290.0,111.76658620914606,-52.272944469847225,0.000324617,0.0003280314835900207
GI,지브랄타,2026-07-01,293422,443417.0,-33.82707474003026,4359.978720170238,0.000293422,0.0002965083590137024
AG,안티가 바부다,2026-07-01,275657,23338.0,1081.150912674608,287.69778202838216,0.000275657,0.0002785564978789599
PW,팔라우,2026-07-01,273404,4328734.0,-93.68397318938977,-3.7296299947886635,0.000273404,0.00027627979970071194
GF,불령 가이아나,2026-07-01,252906,227718.0,11.061049192422212,-50.21251213159806,0.000252906,0.00025556619150820126
MC,모나코,2026-07-01,194116,105750.0,83.5612293144208,322.3310053738877,0.000194116,0.0001961578089519663
VG,영령 버진군도,2026-07-01,187267,48873.0,283.17066683035625,372.58618079039013,0.000187267,0.00018923676775231242
TC,투르크 & 카이코스 군도,2026-07-01,168203,43734.0,284.60465541683817,64.48240793256537,0.000168203,0.00016997224308736833
TV,투발루,2026-07-01,147059,565281.0,-73.98479694169802,-57.026930674552624,0.000147059,0.00014860583994450336
KN,세인트 키츠 네비스,2026-07-01,144069,221016.0,-34.815126506678254,198.98518241812977,0.000144069,0.00014558438963249208
GW,기네비소,2026-07-01,143732,5860.0,2352.764505119454,inf,0.000143732,0.00014524384489832896
DM,도미니카,2026-07-01,120511,172877.0,-30.29090046680588,-63.097166549792846,0.000120511,0.00012177859483304012
MW,말라위,2026-07-01,90173,282113.0,-68.03656690758669,-80.7699853705765,9.0173e-05,9.112148461036523e-05
SZ,스와질랜드,2026-07-01,71863,178941.0,-59.83983547649784,1696.575,7.1863e-05,7.261889089366747e-05
AN,네덜란드 열도,2026-07-01,67941,22611.0,200.4776436247844,-19.28217557115871,6.7941e-05,6.865563734058782e-05
VC,세인트 빈센트 그레나딘,2026-07-01,58777,98630.0,-40.40657000912501,501.9150025601639,5.8777e-05,5.939524581574793e-05
ST,상토메 프린스페,2026-07-01,53397,17070.0,212.81195079086115,-14.090580001608878,5.3397e-05,5.395865629112564e-05
BI,부룬디,2026-07-01,39084,510158.0,-92.33884404439408,-92.76804796136446,3.9084e-05,3.9495105014932575e-05
YT,메요트,2026-07-01,36360,426916.0,-91.48310206223238,-94.4884372385191,3.636e-05,3.6742452623655415e-05
TD,챠드,2026-07-01,33827,244809.0,-86.18228904983069,-96.64586714948781,3.3827e-05,3.4182809265687346e-05
MF,세인트 마틴,2026-07-01,33760,538081.0,-93.72585168404012,565.7464011043187,3.376e-05,3.411510452625431e-05
BW,보츠와나,2026-07-01,26341,68572.0,-61.5863617803185,-64.67851156553806,2.6341e-05,2.661806778217017e-05
TO,통가,2026-07-01,22427,25766.0,-12.958938135527443,-28.546850606939177,2.2427e-05,2.266289837708251e-05
VI,미령 버진군도,2026-07-01,19552,22421.0,-12.796039427322603,-6.8464433751012415,1.9552e-05,1.9757657692456293e-05
