산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
비철금속,441,4412,441212,기타운동복,동
비철금속,514,5141,514190,기타운동용구,동
비철금속,516,5161,516150,구리제 식탁용품 및 주방용품,구리
비철금속,516,5161,516160,알루미늄제 식탁용품 및 주방용품,알루미늄
비철금속,524,5241,524100,운동용 장갑,동
비철금속,613,6134,613410,용융아연도강판,아연
비철금속,613,6134,613420,전기아연도강판,아연
비철금속,613,6134,613430,착색아연도강판,아연
비철금속,621,6211,621110,알루미늄괴,알루미늄
비철금속,621,6211,621120,알루미늄스크랩,알루미늄
비철금속,621,6212,621210,알루미늄분,알루미늄
비철금속,621,6212,621220,알루미늄봉,알루미늄
비철금속,621,6212,621230,알루미늄선,알루미늄
비철금속,621,6212,621240,알루미늄판,알루미늄
비철금속,621,6212,621250,알루미늄박,알루미늄
비철금속,621,6212,621260,알루미늄관,알루미늄
비철금속,621,6213,621310,알루미늄구조물,알루미늄
비철금속,621,6213,621320,알루미늄용기,알루미늄
비철금속,621,6214,621400,알루미늄케이블,알루미늄
비철금속,621,6219,621900,기타알루미늄제품,알루미늄
비철금속,622,6221,622110,미정제동괴,동
비철금속,622,6221,622120,동괴,동
비철금속,622,6221,622130,동스크랩,동
비철금속,622,6222,622210,동분,동
비철금속,622,6222,622220,동봉,동
비철금속,622,6222,622230,동선,동
비철금속,622,6222,622240,동판,동
비철금속,622,6222,622250,동박,동
비철금속,622,6222,622260,동관,동
비철금속,622,6222,622270,동관연결구류,동
비철금속,622,6229,622900,기타동제품,동
비철금속,623,6231,623110,미정제니켈괴,니켈
비철금속,623,6231,623120,니켈괴,니켈
비철금속,623,6231,623130,니켈스크랩,니켈
비철금속,623,6232,623210,니켈분,니켈
비철금속,623,6232,623220,니켈봉및선재,니켈
비철금속,623,6232,623230,니켈박,니켈
비철금속,623,6232,623240,니켈판및대,니켈
비철금속,623,6232,623250,니켈관,니켈
비철금속,623,6232,623260,니켈관연결구류,니켈
비철금속,623,6239,623900,기타니켈제품,니켈
비철금속,626,6261,626110,아연괴,아연
비철금속,626,6261,626120,아연스크랩,아연
비철금속,626,6262,626210,아연분및더스트,아연
비철금속,626,6262,626220,아연봉및선재,아연
비철금속,626,6262,626230,아연판및대,아연
비철금속,626,6262,626240,아연박,아연
비철금속,626,6262,626250,아연관,아연
비철금속,626,6262,626260,아연관연결구류,아연
비철금속,626,6269,626900,기타아연제품,아연
비철금속,629,6290,629000,기타비철금속제품,비철
비철금속,741,7416,741600,기타자동차,동
비철금속,742,7420,742000,자동차부품,동
비철금속,742,7420,742010,자동차용내연기관,동
