MTI코드,코드길이,품목명,행,코드열,품목명열
512900,6,6단위,1453,1,2
513,3,3단위,158,1,2
5131,4,4단위,532,1,2
513100,6,6단위,1454,1,2
5132,4,4단위,533,1,2
513210,6,6단위,1455,1,2
513220,6,6단위,1456,1,2
513290,6,6단위,1457,1,2
5133,4,4단위,534,1,2
513310,6,6단위,1458,1,2
513390,6,6단위,1459,1,2
513391,6,6단위,1460,1,2
513392,6,6단위,1461,1,2
513393,6,6단위,1462,1,2
513394,6,6단위,1463,1,2
513395,6,6단위,1464,1,2
5134,4,4단위,535,1,2
513400,6,6단위,1465,1,2
5135,4,4단위,536,1,2
513500,6,6단위,1466,1,2
5139,4,4단위,537,1,2
513900,6,6단위,1467,1,2
514,3,3단위,159,1,2
5141,4,4단위,538,1,2
514110,6,6단위,1468,1,2
514120,6,6단위,1469,1,2
514130,6,6단위,1470,1,2
514140,6,6단위,1471,1,2
